"Unemployment Rates for Metropolitan Areas, Not Seasonally Adjusted",,
Metropolitan area,July 2019(P),Rank
,rate,
"Topeka, KS Metropolitan Statistical Area",3.7,159
"Waco, TX Metropolitan Statistical Area",3.7,159
"Warner Robins, GA Metropolitan Statistical Area",3.7,159
"Corvallis, OR Metropolitan Statistical Area",3.8,173
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",3.8,173
"Janesville-Beloit, WI Metropolitan Statistical Area",3.8,173
"Lancaster, PA Metropolitan Statistical Area",3.8,173
"Lawton, OK Metropolitan Statistical Area",3.8,173
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.8,173
"Mobile, AL Metropolitan Statistical Area",3.8,173
"Sumter, SC Metropolitan Statistical Area",3.8,173
"Valdosta, GA Metropolitan Statistical Area",3.8,173
"Bend-Redmond, OR Metropolitan Statistical Area",3.9,182
"Casper, WY Metropolitan Statistical Area",3.9,182
"Columbus, OH Metropolitan Statistical Area",3.9,182
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",3.9,182
"Durham-Chapel Hill, NC Metropolitan Statistical Area",3.9,182
"Fort Smith, AR-OK Metropolitan Statistical Area",3.9,182
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",3.9,182
"Ithaca, NY Metropolitan Statistical Area",3.9,182
"Kokomo, IN Metropolitan Statistical Area",3.9,182
"Morgantown, WV Metropolitan Statistical Area",3.9,182
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",3.9,182
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",3.9,182
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",3.9,182
"Punta Gorda, FL Metropolitan Statistical Area",3.9,182
"Raleigh, NC Metropolitan Statistical Area",3.9,182
"Springfield, IL Metropolitan Statistical Area",3.9,182
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",4,198
"Bloomington, IN Metropolitan Statistical Area",4,198
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",4,198
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",4,198
"Chattanooga, TN-GA Metropolitan Statistical Area",4,198
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",4,198
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4,198
"Kansas City, MO-KS Metropolitan Statistical Area",4,198
