,Metropolitan,Quarterly Income,Total Income,Avg Income
146,"Guayama, PR",618,"84,292,140",483
147,"Gulfport-Biloxi-Pascagoula, MS","7,947","1,530,714,984",796
148,"Hagerstown-Martinsburg, MD-WV","5,577","1,048,349,284",817
149,"Hammond, LA","3,007","381,967,831",675
150,"Hanford-Corcoran, CA","4,095","526,044,524",839
151,"Harrisburg-Carlisle, PA","14,910","4,233,583,392",987
152,"Harrisonburg, VA","3,564","656,508,858",790
153,"Hartford-West Hartford-East Hartford, CT","37,276","9,444,648,126","1,174"
154,"Hattiesburg, MS","3,535","589,613,705",739
155,"Hickory-Lenoir-Morganton, NC","7,775","1,499,456,433",762
156,"Hilton Head Island-Bluffton-Beaufort, SC","6,494","723,557,679",710
157,"Hinesville, GA",928,"201,121,735",784
158,"Homosassa Springs, FL","3,167","293,270,325",704
159,"Hot Springs, AR","3,064","329,661,243",688
160,"Houma-Thibodaux, LA","5,281","1,049,603,953",965
161,"Houston-The Woodlands-Sugar Land, TX","158,213","46,696,821,214","1,211"
162,"Huntington-Ashland, WV-KY-OH","8,235","1,399,764,913",857
163,"Huntsville, AL","11,235","3,235,306,772","1,112"
164,"Idaho Falls, ID","4,859","729,965,826",832
165,"Indianapolis-Carmel-Anderson, IN","49,132","12,698,891,226",961
166,"Iowa City, IA","5,084","1,147,884,610",967
167,"Ithaca, NY","2,652","648,879,129",991
168,"Jackson, MI","2,662","673,269,168",903
169,"Jackson, MS","14,621","2,741,197,424",819
170,"Jackson, TN","3,082","673,473,441",776
171,"Jacksonville, FL","44,140","8,090,327,396",930
172,"Jacksonville, NC","3,113","405,268,125",657
173,"Janesville-Beloit, WI","3,545","763,227,223",868
174,"Jefferson City, MO","3,853","757,072,524",783
175,"Johnson City, TN","3,972","764,913,107",768
176,"Johnstown, PA","3,477","496,201,704",755
177,"Jonesboro, AR","3,366","544,854,011",754
178,"Joplin, MO","4,626","742,235,955",746
179,"Kahului-Wailuku-Lahaina, HI","6,343","890,101,559",876
180,"Kalamazoo-Portage, MI","6,432","1,722,143,332",921
181,"Kankakee, IL","2,246","481,789,115",824
182,"Kansas City, MO-KS","64,515","13,482,384,697",993
183,"Kennewick-Richland, WA","8,640","1,666,736,569","1,002"
184,"Killeen-Temple, TX","7,254","1,557,505,349",863
185,"Kingsport-Bristol-Bristol, TN-VA","6,850","1,199,579,650",804
186,"Kingston, NY","5,274","636,514,700",804
187,"Knoxville, TN","19,941","4,599,686,264",929
188,"Kokomo, IN","1,718","468,910,331",918
189,"La Crosse-Onalaska, WI-MN","3,621","791,469,888",817
190,"Lafayette, LA","15,171","2,208,842,345",867
191,"Lafayette-West Lafayette, IN","4,062","1,085,368,491",902
192,"Lake Charles, LA","5,571","1,530,780,358","1,032"
193,"Lake Havasu City-Kingman, AZ","3,746","472,419,674",726
194,"Lakeland-Winter Haven, FL","13,497","2,289,117,711",801
195,"Lancaster, PA","13,636","2,781,953,238",877
196,"Lansing-East Lansing, MI","9,183","2,581,945,355",943
197,"Laredo, TX","5,536","918,153,930",698
198,"Las Cruces, NM","4,872","674,943,457",717
199,"Las Vegas-Henderson-Paradise, NV","54,929","11,873,758,823",914
200,"Lawrence, KS","3,083","458,565,077",730
201,"Lawton, OK","2,481","424,983,349",762
202,"Lebanon, PA","2,824","526,472,324",809
203,"Lewiston, ID-WA","1,883","282,374,234",793
204,"Lewiston-Auburn, ME","3,094","518,550,422",811
205,"Lexington-Fayette, KY","15,474","3,084,109,123",889
206,"Lima, OH","2,487","554,558,588",837
207,"Lincoln, NE","10,535","1,984,536,058",855
208,"Little Rock-North Little Rock-Conway, AR","21,161","3,763,430,627",868
209,"Logan, UT-ID","4,157","538,761,695",709
210,"Longview, TX","5,754","1,075,092,298",873
211,"Longview, WA","3,032","494,081,887",969
212,"Los Angeles-Long Beach-Anaheim, CA","620,774","92,059,578,178","1,172"
213,"Louisville-Jefferson County, KY-IN","35,626","7,695,434,727",925
214,"Lubbock, TX","8,109","1,526,261,215",824
215,"Lynchburg, VA","7,839","1,029,458,433",793
216,"Macon, GA","5,362","1,039,503,913",814
217,"Madera, CA","4,350","550,474,058",842
218,"Madison, WI","19,517","5,002,355,532",993
219,"Manchester-Nashua, NH","12,172","2,937,815,461","1,112"
220,"Manhattan, KS","2,357","364,465,047",728
221,"Mankato-North Mankato, MN","2,823","607,790,855",857
222,"Mansfield, OH","2,758","501,090,146",760
223,"Mayaguez, PR","1,645","182,449,098",454
224,"McAllen-Edinburg-Mission, TX","12,635","2,217,871,483",661
225,"Medford, OR","7,686","950,398,625",816
226,"Memphis, TN-MS-AR","27,702","7,951,328,878",989
227,"Merced, CA","6,704","851,240,632",806
228,"Miami-Fort Lauderdale-West Palm Beach, FL","224,951","32,512,862,272",986
229,"Michigan City-La Porte, IN","2,273","402,146,122",767
230,"Midland, MI","3,263","536,633,959","1,098"
231,"Midland, TX","6,055","1,956,514,179","1,393"
232,"Milwaukee-Waukesha-West Allis, WI","47,154","10,572,313,370",977
233,"Minneapolis-St. Paul-Bloomington, MN-WI","96,991","28,905,397,164","1,152"
234,"Missoula, MT","5,436","637,306,225",803
235,"Mobile, AL","10,249","1,984,045,486",896
236,"Modesto, CA","15,984","2,385,784,556",946
237,"Monroe, LA","5,153","711,330,938",738
238,"Monroe, MI","2,156","479,019,459",906
239,"Montgomery, AL","8,854","1,728,356,888",810
240,"Morgantown, WV","3,445","801,521,319",970
241,"Morristown, TN","2,102","434,975,301",770
242,"Mount Vernon-Anacortes, WA","4,118","655,390,010",944
243,"Muncie, IN","2,193","441,449,506",748
244,"Muskegon, MI","2,851","658,807,508",790
