,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017
268,"Pittsfield, MA","6,024",3.1
269,"Pocatello, ID","2,437",3.3
270,"Portland-South Portland, ME","27,812",1.9
271,"Portland-Vancouver-Hillsboro, OR-WA","156,553",4
272,"Port St. Lucie, FL","12,114",4
273,"Prescott, AZ","5,300",5.1
274,"Providence-Warwick, RI-MA","71,739",3.7
275,"Provo-Orem, UT","22,183",2.9
276,"Pueblo, CO","4,534",4.4
277,"Punta Gorda, FL","3,719",3.9
278,"Racine, WI","6,791",4.4
279,"Raleigh, NC","72,626",3.9
280,"Rapid City, SD","5,833",2.6
281,"Reading, PA","16,375",4.5
282,"Redding, CA","6,046",4.9
283,"Reno, NV","23,060",3.4
284,"Richmond, VA","70,677",3
285,"Riverside-San Bernardino-Ontario, CA","135,986",4.6
286,"Roanoke, VA","13,263",2.9
287,"Rochester, MN","11,200",2.8
288,"Rochester, NY","48,504",4.1
289,"Rockford, IL","13,235",6.5
290,"Rocky Mount, NC","4,962",6
291,"Rome, GA","3,426",4.6
292,"Sacramento--Roseville--Arden-Arcade, CA","108,732",4
293,"Saginaw, MI","7,117",5.7
294,"St. Cloud, MN","8,825",3
295,"St. George, UT","4,705",3.4
296,"St. Joseph, MO-KS","4,772",3.5
297,"Salem, OR","14,863",4.6
298,"Salinas, CA","20,735",4.7
299,"Salisbury, MD-DE","17,087",4
300,"Salt Lake City, UT","74,363",2.9
301,"San Angelo, TX","4,675",3.3
302,"San Antonio-New Braunfels, TX","118,241",3.3
303,"San Diego-Carlsbad, CA","201,986",3.6
304,"San Francisco-Oakland-Hayward, CA","425,358",2.9
305,"San Jose-Sunnyvale-Santa Clara, CA","256,419",2.8
306,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","13,010",3.2
307,"Santa Cruz-Watsonville, CA","11,481",4.3
308,"Santa Fe, NM","6,223",4.6
309,"Santa Maria-Santa Barbara, CA","22,938",3.7
310,"Santa Rosa, CA","24,985",3
311,"Savannah, GA","15,652",3.4
312,"Scranton--Wilkes-Barre--Hazleton, PA","20,782",5.4
313,"Seattle-Tacoma-Bellevue, WA","312,587",3.6
314,"Sebastian-Vero Beach, FL","4,709",4.2
315,"Sebring, FL","1,810",5.2
316,"Sheboygan, WI","5,878",2.8
317,"Sherman-Denison, TX","3,933",3.2
318,"Shreveport-Bossier City, LA","20,198",5.5
319,"Sierra Vista-Douglas, AZ","3,511",6.8
320,"Sioux City, IA-NE-SD","8,454",2.7
321,"Sioux Falls, SD","16,016",2.1
322,"South Bend-Mishawaka, IN-MI","12,231",4.2
323,"Spartanburg, SC","13,794",3.1
324,"Spokane-Spokane Valley, WA","21,999",5.7
325,"Springfield, IL","8,812",3.9
326,"Springfield, MO","16,863",3
327,"Springfield, OH","3,914",4.9
328,"State College, PA","8,091",3.7
329,"Staunton-Waynesboro, VA","4,449",2.6
330,"Stockton-Lodi, CA","23,556",6.3
331,"Sumter, SC","3,367",3.8
332,"Syracuse, NY","29,234",4.1
333,"Tallahassee, FL","13,834",3.6
334,"Tampa-St. Petersburg-Clearwater, FL","127,432",3.4
335,"Terre Haute, IN","5,626",4.4
336,"Texarkana, TX-AR","4,641",4.7
337,"The Villages, FL","2,416",4.8
338,"Toledo, OH","28,300",4.7
339,"Topeka, KS","9,205",3.7
340,"Trenton, NJ","25,759",3.3
341,"Tucson, AZ","33,841",5.3
342,"Tulsa, OK","54,921",3.3
343,"Tuscaloosa, AL","10,198",3.1
344,"Twin Falls, ID","3,669",2.7
345,"Tyler, TX","14,594",3.5
346,"Urban Honolulu, HI","57,861",2.5
347,"Utica-Rome, NY","9,537",4.2
348,"Valdosta, GA","4,378",3.8
349,"Vallejo-Fairfield, CA","17,818",4.2
350,"Victoria, TX","4,545",3.6
351,"Vineland-Bridgeton, NJ","4,988",5.3
352,"Virginia Beach-Norfolk-Newport News, VA-NC","81,821",3.1
353,"Visalia-Porterville, CA","13,582",10
354,"Waco, TX","10,676",3.7
355,"Walla Walla, WA","2,481",5.3
356,"Warner Robins, GA","6,106",3.7
357,"Washington-Arlington-Alexandria, DC-VA-MD-WV","460,026",3.3
358,"Waterloo-Cedar Falls, IA","8,609",3.3
359,"Watertown-Fort Drum, NY","5,172",4.7
360,"Wausau, WI","7,119",3
361,"Weirton-Steubenville, WV-OH","3,703",5.8
362,"Wenatchee, WA","4,563",4
363,"Wheeling, WV-OH","7,130",4.7
364,"Wichita, KS","29,610",4
365,"Wichita Falls, TX","6,483",3.5
366,"Williamsport, PA","4,386",4.5
367,"Wilmington, NC","12,203",4
368,"Winchester, VA-WV","5,833",2.7
369,"Winston-Salem, NC","25,263",4.2
370,"Worcester, MA-CT","38,197",3.3
371,"Yakima, WA","8,420",6.1
372,"York-Hanover, PA","16,900",4.2
373,"Youngstown-Warren-Boardman, OH-PA","17,258",6.1
374,"Yuba City, CA","5,105",6.7
375,"Yuma, AZ","6,175",22.1
