,Metropolitan Areas,GDP 2017
226,"Miami-Fort Lauderdale-West Palm Beach, FL","296,486"
227,"Michigan City-La Porte, IN","3,443"
228,"Midland, MI","5,408"
229,"Midland, TX","29,825"
230,"Milwaukee-Waukesha-West Allis, WI","91,962"
231,"Minneapolis-St. Paul-Bloomington, MN-WI","226,152"
232,"Missoula, MT","4,807"
233,"Mobile, AL","16,803"
234,"Modesto, CA","17,954"
235,"Monroe, LA","6,936"
236,"Monroe, MI","4,479"
237,"Montgomery, AL","15,179"
238,"Morgantown, WV","6,903"
239,"Morristown, TN","3,828"
240,"Mount Vernon-Anacortes, WA","5,244"
241,"Muncie, IN","3,425"
242,"Muskegon, MI","5,196"
243,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","14,844"
244,"Napa, CA","9,750"
245,"Naples-Immokalee-Marco Island, FL","15,608"
246,"Nashville-Davidson--Murfreesboro--Franklin, TN","115,716"
247,"New Bern, NC","4,301"
248,"New Haven-Milford, CT","39,442"
249,"New Orleans-Metairie, LA","67,023"
250,"New York-Newark-Jersey City, NY-NJ-PA","1,444,484"
251,"Niles-Benton Harbor, MI","5,952"
252,"North Port-Sarasota-Bradenton, FL","27,015"
253,"Norwich-New London, CT","13,643"
254,"Ocala, FL","7,503"
255,"Ocean City, NJ","4,481"
256,"Odessa, TX","9,061"
257,"Ogden-Clearfield, UT","22,326"
258,"Oklahoma City, OK","67,714"
259,"Olympia-Tumwater, WA","10,653"
260,"Omaha-Council Bluffs, NE-IA","56,229"
261,"Orlando-Kissimmee-Sanford, FL","114,969"
262,"Oshkosh-Neenah, WI","9,245"
263,"Owensboro, KY","4,849"
264,"Oxnard-Thousand Oaks-Ventura, CA","43,400"
265,"Palm Bay-Melbourne-Titusville, FL","19,480"
266,"Panama City, FL","7,273"
267,"Parkersburg-Vienna, WV","3,823"
268,"Pensacola-Ferry Pass-Brent, FL","15,495"
269,"Peoria, IL","16,364"
270,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","387,217"
271,"Phoenix-Mesa-Scottsdale, AZ","210,968"
272,"Pine Bluff, AR","2,663"
273,"Pittsburgh, PA","131,222"
274,"Pittsfield, MA","6,024"
275,"Pocatello, ID","2,437"
276,"Portland-South Portland, ME","27,812"
277,"Portland-Vancouver-Hillsboro, OR-WA","156,553"
278,"Port St. Lucie, FL","12,114"
279,"Prescott, AZ","5,300"
280,"Providence-Warwick, RI-MA","71,739"
281,"Provo-Orem, UT","22,183"
282,"Pueblo, CO","4,534"
283,"Punta Gorda, FL","3,719"
284,"Racine, WI","6,791"
285,"Raleigh, NC","72,626"
286,"Rapid City, SD","5,833"
287,"Reading, PA","16,375"
288,"Redding, CA","6,046"
289,"Reno, NV","23,060"
290,"Richmond, VA","70,677"
291,"Riverside-San Bernardino-Ontario, CA","135,986"
292,"Roanoke, VA","13,263"
293,"Rochester, MN","11,200"
294,"Rochester, NY","48,504"
295,"Rockford, IL","13,235"
296,"Rocky Mount, NC","4,962"
297,"Rome, GA","3,426"
298,"Sacramento--Roseville--Arden-Arcade, CA","108,732"
299,"Saginaw, MI","7,117"
300,"St. Cloud, MN","8,825"
301,"St. George, UT","4,705"
302,"St. Joseph, MO-KS","4,772"
303,"St. Louis, MO-IL","139,509"
304,"Salem, OR","14,863"
305,"Salinas, CA","20,735"
306,"Salisbury, MD-DE","17,087"
307,"Salt Lake City, UT","74,363"
308,"San Angelo, TX","4,675"
309,"San Antonio-New Braunfels, TX","118,241"
310,"San Diego-Carlsbad, CA","201,986"
311,"San Francisco-Oakland-Hayward, CA","425,358"
