Name,Household Income,Population,Median Age,Per Capita Income,Poverty Count,Unemployment Count,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet,State,county,Poverty Rate,Unemployment Rate
"Gurabo Municipio, Puerto Rico",32625.0,47074.0,38.3,16559.0,14583.0,3099.0,15223.0,3447.0,6872.0,10637.0,8256.0,1564.0,628.0,36.0,4177.0,72,063,30.978884309810088,6.583251901261843
"Salinas Municipio, Puerto Rico",16246.0,29239.0,38.4,8738.0,15586.0,833.0,10718.0,1651.0,3316.0,5041.0,2597.0,2335.0,136.0,53.0,5369.0,72,123,53.305516604535036,2.8489346420876225
"Barceloneta Municipio, Puerto Rico",17113.0,24583.0,38.7,8762.0,11936.0,1319.0,8090.0,695.0,2522.0,3436.0,2289.0,1070.0,168.0,29.0,4264.0,72,017,48.55387869666029,5.365496481308221
"Loíza Municipio, Puerto Rico",17273.0,27242.0,37.5,8729.0,14113.0,3012.0,8919.0,2463.0,2939.0,5546.0,4568.0,888.0,173.0,50.0,3309.0,72,087,51.806034799207104,11.05645694148741
"Yauco Municipio, Puerto Rico",14451.0,37585.0,42.1,8124.0,18800.0,2847.0,10749.0,1146.0,3062.0,4493.0,3259.0,1037.0,298.0,76.0,5619.0,72,153,50.01995476918984,7.574830384461887
"Guaynabo Municipio, Puerto Rico",34060.0,90773.0,42.7,24264.0,24289.0,4297.0,32913.0,5427.0,16831.0,23101.0,17455.0,5313.0,1179.0,86.0,8970.0,72,061,26.7579566611217,4.733786478358102
"Aguadilla Municipio, Puerto Rico",16821.0,55722.0,40.6,10872.0,27928.0,4040.0,21322.0,2406.0,8866.0,12513.0,7034.0,3366.0,2600.0,952.0,7961.0,72,005,50.12023976167402,7.250278166612828
"Cabo Rojo Municipio, Puerto Rico",16461.0,49726.0,42.3,9523.0,26021.0,1835.0,16495.0,620.0,2800.0,3547.0,2802.0,704.0,74.0,33.0,12684.0,72,023,52.32876161364276,3.690222418855327
"Fajardo Municipio, Puerto Rico",18941.0,33075.0,40.7,10900.0,14371.0,4019.0,12436.0,2836.0,4642.0,7760.0,6048.0,1614.0,268.0,61.0,4454.0,72,053,43.44973544973545,12.151171579743009
"Las Marías Municipio, Puerto Rico",14404.0,8874.0,40.1,7154.0,5070.0,57.0,3033.0,111.0,772.0,927.0,171.0,727.0,19.0,19.0,2042.0,72,083,57.133198106828935,0.6423258958755916
"Patillas Municipio, Puerto Rico",14512.0,17769.0,43.3,8679.0,10182.0,1004.0,6501.0,636.0,1905.0,2705.0,1921.0,669.0,202.0,69.0,3379.0,72,109,57.30204288367381,5.65028983060386
"Rincón Municipio, Puerto Rico",18292.0,14526.0,44.6,10220.0,7047.0,708.0,5079.0,693.0,1678.0,2523.0,1433.0,945.0,131.0,57.0,2281.0,72,117,48.513011152416354,4.874019000413052
"Villalba Municipio, Puerto Rico",19893.0,23659.0,37.6,10449.0,11740.0,2268.0,7761.0,1964.0,2337.0,4661.0,3753.0,766.0,356.0,92.0,2943.0,72,149,49.621708440762504,9.586203981571495
"Aguas Buenas Municipio, Puerto Rico",16733.0,26855.0,40.4,10615.0,12910.0,1941.0,8594.0,1467.0,1873.0,3595.0,2903.0,502.0,404.0,61.0,4594.0,72,007,48.07298454663936,7.227704338112083
"Bayamón Municipio, Puerto Rico",25528.0,188614.0,40.4,14138.0,63445.0,11392.0,69318.0,14689.0,27957.0,45400.0,36136.0,8047.0,4950.0,646.0,22113.0,72,021,33.63748184122069,6.039848579638839
"Carolina Municipio, Puerto Rico",29082.0,161684.0,41.1,16188.0,46686.0,10203.0,64056.0,14918.0,27263.0,45156.0,36357.0,7409.0,2561.0,781.0,17141.0,72,031,28.87484228495089,6.310457435491452
"Cayey Municipio, Puerto Rico",20442.0,45431.0,41.0,12594.0,19785.0,1746.0,16459.0,2647.0,5620.0,8657.0,5600.0,2825.0,585.0,109.0,6817.0,72,035,43.54955867139178,3.843190772820321
"Monroe County, Alabama",26036.0,21745.0,41.7,17264.0,7249.0,1691.0,8207.0,335.0,2528.0,3196.0,1655.0,1303.0,457.0,129.0,4617.0,01,099,33.3363991722235,7.776500344906875
"Lawrence County, Alabama",43779.0,33288.0,42.0,22419.0,5490.0,972.0,13056.0,2538.0,3663.0,7271.0,4726.0,1838.0,1255.0,540.0,4560.0,01,079,16.49242970439798,2.919971160778659
"Lee County, Alabama",47564.0,156597.0,31.0,26170.0,33132.0,4371.0,59001.0,4340.0,39847.0,46125.0,28869.0,15637.0,3758.0,898.0,10071.0,01,081,21.15749343857162,2.791241211517462
"Marion County, Alabama",35719.0,30058.0,44.1,21835.0,5175.0,691.0,12453.0,1797.0,5618.0,8198.0,4526.0,3101.0,823.0,344.0,3792.0,01,093,17.21671435225231,2.298888814957748
"Pickens County, Alabama",36220.0,20170.0,42.1,20089.0,4340.0,958.0,7620.0,1184.0,2608.0,4643.0,3052.0,1180.0,874.0,324.0,2688.0,01,107,21.51710461080813,4.749628160634606
"Sumter County, Alabama",21663.0,13084.0,35.9,14739.0,4398.0,672.0,5073.0,376.0,1638.0,2559.0,1620.0,536.0,759.0,255.0,2333.0,01,119,33.61357383063283,5.136044023234485
"Jefferson County, Alabama",49321.0,659460.0,37.6,29456.0,113368.0,25044.0,261390.0,18788.0,165614.0,190864.0,117324.0,66640.0,12474.0,2173.0,57392.0,01,073,17.191035089315502,3.797652624874898
"Choctaw County, Alabama",32122.0,13188.0,45.8,20994.0,2903.0,468.0,5463.0,455.0,2070.0,2858.0,1542.0,971.0,510.0,188.0,2226.0,01,023,22.012435547467394,3.548680618744313
"Franklin County, Alabama",39501.0,31507.0,37.7,19314.0,7175.0,1114.0,11533.0,1884.0,4218.0,6950.0,4427.0,2004.0,983.0,390.0,4113.0,01,059,22.772717173961343,3.5357222204589456
"Marengo County, Alabama",32255.0,19743.0,42.1,22996.0,5000.0,975.0,7975.0,800.0,2786.0,4083.0,2297.0,1436.0,546.0,208.0,3219.0,01,091,25.325431798612165,4.938459200729373
"Russell County, Alabama",38988.0,58480.0,35.3,21279.0,12024.0,2465.0,22690.0,2930.0,9651.0,14300.0,8929.0,4321.0,1994.0,634.0,6875.0,01,113,20.560875512995896,4.215116279069767
"Cherokee County, Alabama",40041.0,25855.0,46.1,23010.0,4104.0,557.0,10795.0,1704.0,4663.0,7286.0,4801.0,1895.0,1289.0,365.0,2888.0,01,019,15.873138657899826,2.1543221813962483
"Covington County, Alabama",39467.0,37519.0,43.4,22431.0,6491.0,1759.0,15285.0,2393.0,6815.0,9896.0,5857.0,3360.0,776.0,401.0,4846.0,01,039,17.300567712359072,4.688291265758682
"Crenshaw County, Alabama",38937.0,13866.0,41.4,21580.0,2399.0,389.0,5358.0,637.0,2167.0,3060.0,1899.0,957.0,460.0,117.0,2052.0,01,041,17.301312563103995,2.8054233376604643
"Dallas County, Alabama",30065.0,40755.0,39.3,18248.0,12795.0,2302.0,16487.0,1866.0,6542.0,9508.0,6298.0,2676.0,1124.0,271.0,6168.0,01,047,31.39492086860508,5.64838670101828
"Lauderdale County, Alabama",44888.0,92590.0,41.5,25803.0,14701.0,2798.0,38634.0,5020.0,18222.0,25276.0,16249.0,7696.0,2476.0,903.0,10883.0,01,077,15.87752457068798,3.021924613889189
"Lowndes County, Alabama",29785.0,10362.0,40.7,18976.0,3095.0,446.0,4309.0,538.0,1159.0,2031.0,1405.0,423.0,400.0,114.0,2071.0,01,085,29.868751206330824,4.304188380621501
"Macon County, Alabama",32308.0,19358.0,38.0,19564.0,4380.0,1251.0,7852.0,755.0,2609.0,4096.0,2763.0,1018.0,952.0,247.0,3087.0,01,087,22.626304370286185,6.462444467403658
"Limestone County, Alabama",52831.0,91695.0,39.1,26685.0,13138.0,2957.0,32386.0,2383.0,19508.0,23494.0,13937.0,8617.0,1875.0,619.0,7046.0,01,083,14.327935001908502,3.2248214188341784
"Shelby County, Alabama",74063.0,208721.0,38.5,35330.0,17127.0,4650.0,76868.0,4884.0,57608.0,64980.0,43464.0,19276.0,4473.0,780.0,8992.0,01,117,8.205690850465453,2.2278544085166323
"St. Clair County, Alabama",53483.0,86937.0,40.1,24686.0,11656.0,2354.0,32486.0,3278.0,18862.0,23493.0,14796.0,7863.0,1776.0,561.0,6729.0,01,115,13.407409963536814,2.707707880419154
"Winston County, Alabama",35362.0,23968.0,44.6,20580.0,4395.0,925.0,9439.0,1348.0,3255.0,5307.0,3146.0,1671.0,613.0,254.0,3415.0,01,133,18.336949265687583,3.859312416555407
"Baldwin County, Alabama",52562.0,203360.0,42.6,29364.0,23728.0,5215.0,76133.0,9807.0,43931.0,56741.0,38708.0,16004.0,5366.0,1045.0,14816.0,01,003,11.667977970102282,2.564417781274587
"Cullman County, Alabama",40997.0,81703.0,40.6,21857.0,13157.0,1962.0,31097.0,4557.0,13882.0,20270.0,13579.0,5573.0,2262.0,539.0,9041.0,01,043,16.10344785381198,2.401380610259109
"Elmore County, Alabama",54981.0,80989.0,38.5,26251.0,10299.0,2613.0,29115.0,2481.0,19023.0,22763.0,14795.0,7225.0,1573.0,473.0,5207.0,01,051,12.716541752583684,3.2263640741335244
"Houston County, Alabama",42803.0,104108.0,39.6,24781.0,19030.0,3642.0,39560.0,3592.0,21998.0,26732.0,14404.0,11352.0,1726.0,460.0,11032.0,01,069,18.279094786183578,3.498290237061513
"Jackson County, Alabama",39281.0,52326.0,43.0,20946.0,9827.0,1699.0,20368.0,1496.0,10536.0,12763.0,7050.0,4993.0,1100.0,420.0,6460.0,01,071,18.780338646179718,3.2469518021633603
"Talladega County, Alabama",39219.0,80888.0,40.6,21382.0,14946.0,3440.0,31651.0,3960.0,14917.0,20746.0,13985.0,5565.0,2156.0,633.0,9362.0,01,121,18.477400850558798,4.252793986747107
"Tuscaloosa County, Alabama",50513.0,204424.0,32.3,24895.0,33597.0,6570.0,71507.0,13453.0,37404.0,54133.0,41100.0,11341.0,4561.0,906.0,14422.0,01,125,16.43495871326263,3.2139083473564747
"Washington County, Alabama",42185.0,16746.0,43.5,23239.0,3644.0,708.0,6001.0,780.0,1907.0,3210.0,1980.0,883.0,547.0,273.0,2249.0,01,129,21.760420398901232,4.227875313507703
"Clay County, Alabama",37287.0,13407.0,43.8,21330.0,2493.0,379.0,5338.0,783.0,2304.0,3522.0,2436.0,804.0,420.0,171.0,1599.0,01,027,18.594763929290668,2.8268814798239728
"Coffee County, Alabama",49821.0,51073.0,39.3,26216.0,8122.0,1391.0,19620.0,2528.0,11600.0,14779.0,9748.0,4587.0,992.0,290.0,4071.0,01,031,15.902727468525445,2.7235525620190706
"Morgan County, Alabama",47529.0,119157.0,40.1,25013.0,19448.0,3496.0,45904.0,3853.0,26786.0,32189.0,18978.0,11837.0,2357.0,598.0,11315.0,01,103,16.321323967538625,2.9339442919845244
"Pike County, Alabama",35684.0,33287.0,31.4,20808.0,8224.0,1366.0,12284.0,1265.0,5492.0,7392.0,3920.0,3057.0,838.0,247.0,4245.0,01,109,24.70634181512302,4.103704148766786
"Chilton County, Alabama",43501.0,43805.0,38.9,23368.0,8392.0,1271.0,16768.0,2205.0,5968.0,9488.0,5607.0,2775.0,1561.0,651.0,6057.0,01,021,19.15763040748773,2.9014952630978197
"Colbert County, Alabama",45477.0,54435.0,42.5,23675.0,9056.0,1653.0,21983.0,3027.0,10264.0,14491.0,9444.0,4375.0,1467.0,381.0,6167.0,01,033,16.636355286121063,3.0366492146596857
"Coosa County, Alabama",34792.0,10955.0,45.9,20342.0,1513.0,498.0,4204.0,616.0,1448.0,2446.0,1713.0,566.0,433.0,147.0,1550.0,01,037,13.811045184847101,4.545869465997262
"Dale County, Alabama",44711.0,49393.0,37.1,23194.0,9441.0,2097.0,18825.0,1966.0,10506.0,13134.0,7619.0,4815.0,1053.0,316.0,4672.0,01,045,19.114044500232826,4.245540866114632
"Hale County, Alabama",34679.0,14995.0,39.8,20269.0,3852.0,697.0,5664.0,375.0,1912.0,2870.0,2049.0,531.0,757.0,238.0,2545.0,01,065,25.68856285428476,4.648216072024008
"Etowah County, Alabama",42064.0,103132.0,40.9,22278.0,18166.0,3406.0,39061.0,3740.0,21802.0,26731.0,13722.0,11800.0,1820.0,535.0,9913.0,01,055,17.61431951285731,3.302563704766707
"DeKalb County, Alabama",38842.0,71194.0,39.0,20020.0,15115.0,1529.0,25482.0,2629.0,11680.0,15552.0,8807.0,5722.0,1528.0,624.0,8429.0,01,049,21.23072169003006,2.1476528920976485
"Escambia County, Alabama",35026.0,37621.0,39.6,18164.0,8281.0,1930.0,13226.0,2570.0,3842.0,7260.0,4614.0,2007.0,984.0,405.0,5531.0,01,053,22.01164243374711,5.1301135004385845
"Lamar County, Alabama",36016.0,14021.0,44.5,21152.0,3191.0,459.0,6019.0,686.0,2421.0,3510.0,2102.0,1107.0,506.0,277.0,2310.0,01,075,22.758719064260752,3.27366093716568
"Randolph County, Alabama",39485.0,22530.0,42.7,20983.0,4102.0,530.0,8867.0,1086.0,3621.0,5742.0,3903.0,1523.0,581.0,190.0,2696.0,01,111,18.206835330670216,2.3524189968930314
"Butler County, Alabama",36326.0,20126.0,40.7,19004.0,4835.0,640.0,7050.0,662.0,3168.0,4102.0,2061.0,1687.0,478.0,152.0,2571.0,01,013,24.02365099870814,3.1799662128589885
"Mobile County, Alabama",45802.0,414328.0,37.3,24347.0,78256.0,13977.0,153794.0,14281.0,86231.0,106791.0,66637.0,34957.0,8336.0,1714.0,40745.0,01,097,18.88745148771022,3.3734142997818153
"Conecuh County, Alabama",30434.0,12649.0,44.5,16337.0,3316.0,669.0,4716.0,477.0,1065.0,1920.0,1133.0,569.0,447.0,136.0,2625.0,01,035,26.21551110759744,5.288955648667879
"Perry County, Alabama",22973.0,9680.0,37.6,13449.0,3706.0,332.0,3039.0,244.0,777.0,1210.0,725.0,357.0,254.0,82.0,1730.0,01,105,38.28512396694215,3.4297520661157024
"Walker County, Alabama",38872.0,64927.0,42.3,21217.0,13754.0,2701.0,25143.0,3420.0,9815.0,15725.0,10484.0,3667.0,2238.0,731.0,7850.0,01,127,21.183791026845533,4.160056679039537
"Cleburne County, Alabama",37396.0,14939.0,41.7,20873.0,2800.0,489.0,5773.0,1031.0,1985.0,3337.0,2244.0,875.0,403.0,142.0,2100.0,01,029,18.742887743490193,3.273311466630966
"Greene County, Alabama",20954.0,8533.0,42.0,14197.0,3293.0,419.0,3025.0,173.0,916.0,1269.0,792.0,314.0,354.0,66.0,1656.0,01,063,38.59135122465721,4.9103480604711125
"Barbour County, Alabama",33368.0,26201.0,39.7,17561.0,6332.0,1261.0,9191.0,1183.0,3497.0,5258.0,3275.0,1556.0,794.0,273.0,3378.0,01,005,24.16701652608679,4.812793404831877
"Bibb County, Alabama",43404.0,22580.0,39.8,20911.0,3133.0,728.0,6916.0,1485.0,2244.0,4286.0,2964.0,977.0,776.0,263.0,2361.0,01,007,13.87511071744907,3.2240921169176264
"Bullock County, Alabama",29655.0,10478.0,40.8,20856.0,2852.0,592.0,3670.0,498.0,1142.0,1814.0,1237.0,454.0,211.0,73.0,1506.0,01,011,27.218934911242602,5.649933193357511
"Calhoun County, Alabama",43686.0,115527.0,39.1,23638.0,20940.0,5309.0,45099.0,4818.0,25094.0,32009.0,20266.0,10297.0,3076.0,755.0,10644.0,01,015,18.125632968916356,4.595462532568145
"Chambers County, Alabama",37342.0,33895.0,43.0,22002.0,6288.0,994.0,13694.0,1589.0,6229.0,8601.0,5805.0,2405.0,758.0,212.0,4594.0,01,017,18.55140876235433,2.932585927127895
"Clarke County, Alabama",33827.0,24625.0,42.2,20765.0,6108.0,1424.0,9602.0,783.0,3014.0,4544.0,2613.0,1427.0,998.0,379.0,4598.0,01,025,24.804060913705584,5.782741116751269
"Fayette County, Alabama",36541.0,16657.0,43.6,21191.0,2967.0,576.0,6955.0,854.0,3041.0,4455.0,2811.0,1377.0,604.0,209.0,2347.0,01,057,17.8123311520682,3.4580056432730983
"Montgomery County, Alabama",46545.0,227120.0,35.9,26712.0,45863.0,8343.0,89776.0,8071.0,58174.0,67827.0,48839.0,17653.0,2639.0,470.0,18579.0,01,101,20.19328989080662,3.67338851708348
"Marshall County, Alabama",41104.0,94738.0,38.8,22710.0,19654.0,2684.0,34588.0,3726.0,19521.0,24283.0,15594.0,7928.0,1373.0,375.0,8933.0,01,095,20.74563533112373,2.8330764846207437
"Blount County, Alabama",47412.0,57667.0,40.9,22021.0,8919.0,1091.0,20690.0,2229.0,10282.0,13606.0,8082.0,4759.0,1520.0,437.0,6190.0,01,009,15.466384587372326,1.8918965786324935
"Henry County, Alabama",45569.0,17110.0,43.5,23983.0,2310.0,496.0,6727.0,876.0,3352.0,4592.0,2521.0,1669.0,604.0,142.0,1852.0,01,067,13.500876680303916,2.898889538281707
"Madison County, Alabama",61318.0,353213.0,38.2,34232.0,46925.0,11822.0,142253.0,10205.0,101977.0,115701.0,78424.0,34672.0,6083.0,1091.0,21656.0,01,089,13.285184860126892,3.3469889273611106
"Autauga County, Alabama",55317.0,55036.0,37.8,27824.0,7483.0,1324.0,21054.0,2216.0,12703.0,16131.0,11341.0,4233.0,1348.0,449.0,4386.0,01,001,13.596554982193473,2.4056980885238755
"Tallapoosa County, Alabama",42181.0,40756.0,43.3,22430.0,8532.0,1547.0,16369.0,1773.0,8187.0,11109.0,7158.0,3516.0,1205.0,241.0,4711.0,01,123,20.934340955932868,3.7957601334772795
"Geneva County, Alabama",39293.0,26572.0,42.7,21084.0,5903.0,1011.0,10693.0,1486.0,4575.0,6871.0,4128.0,2219.0,922.0,312.0,3104.0,01,061,22.215113653469817,3.8047568869486676
"Wilcox County, Alabama",27012.0,10919.0,40.5,15774.0,3371.0,602.0,3841.0,244.0,1108.0,1599.0,819.0,624.0,323.0,76.0,1897.0,01,131,30.872790548585034,5.513325396098544
"Kodiak Island Borough, Alaska",74167.0,13773.0,33.1,32625.0,1262.0,396.0,4538.0,251.0,3273.0,3740.0,2252.0,1377.0,173.0,64.0,675.0,02,150,9.162854860959849,2.875190590285341
"Denali Borough, Alaska",83295.0,2303.0,38.4,33084.0,351.0,29.0,678.0,56.0,544.0,608.0,386.0,217.0,10.0,5.0,53.0,02,068,15.240990013026487,1.2592270950933564
"Valdez-Cordova Census Area, Alaska",86019.0,9439.0,40.0,37935.0,694.0,384.0,2849.0,187.0,1921.0,2294.0,1414.0,747.0,201.0,50.0,418.0,02,261,7.352473779002013,4.0682275664795
"Kenai Peninsula Borough, Alaska",65279.0,57961.0,40.6,33336.0,6229.0,2397.0,21779.0,2576.0,11589.0,16505.0,8923.0,6037.0,2396.0,1026.0,3979.0,02,122,10.746881523783234,4.135539414433843
"Aleutians West Census Area, Alaska",85192.0,5784.0,37.7,35998.0,419.0,77.0,1218.0,135.0,637.0,902.0,597.0,245.0,133.0,29.0,254.0,02,016,7.244121715076072,1.3312586445366528
