,Metropolitan Areas,Unemployment Rate Jul 2017
254,"Columbus, GA-AL",4.4
255,"Kingsport-Bristol-Bristol, TN-VA",4.4
256,"Pueblo, CO",4.4
257,"Racine, WI",4.4
258,"Terre Haute, IN",4.4
259,"Waterbury, CT",4.4
260,"Allentown-Bethlehem-Easton, PA-NJ",4.5
261,"Atlantic City-Hammonton, NJ",4.5
262,"Binghamton, NY",4.5
263,"Charleston, WV",4.5
264,"Corpus Christi, TX",4.5
265,"Dayton, OH",4.5
266,"Dover, DE",4.5
267,"Midland, MI",4.5
268,"Owensboro, KY",4.5
269,"Peoria, IL",4.5
270,"Pittsburgh, PA",4.5
271,"Reading, PA",4.5
272,"Williamsport, PA",4.5
273,"Akron, OH",4.6
274,"Bloomsburg-Berwick, PA",4.6
275,"Canton-Massillon, OH",4.6
276,"Dalton, GA",4.6
277,"Eugene, OR",4.6
278,"Kalamazoo-Portage, MI",4.6
279,"Kankakee, IL",4.6
280,"Lansing-East Lansing, MI",4.6
281,"Los Angeles-Long Beach-Anaheim, CA",4.6
282,"Louisville/Jefferson County, KY-IN",4.6
283,"New Bern, NC",4.6
284,"Riverside-San Bernardino-Ontario, CA",4.6
285,"Rome, GA",4.6
286,"Salem, OR",4.6
287,"Santa Fe, NM",4.6
288,"Beckley, WV",4.7
289,"Erie, PA",4.7
290,"Goldsboro, NC",4.7
291,"Greensboro-High Point, NC",4.7
292,"Johnson City, TN",4.7
293,"Las Vegas-Henderson-Paradise, NV",4.7
294,"Lima, OH",4.7
295,"Salinas, CA",4.7
296,"Texarkana, TX-AR",4.7
297,"Toledo, OH",4.7
298,"Watertown-Fort Drum, NY",4.7
299,"Wheeling, WV-OH",4.7
300,"Altoona, PA",4.8
301,"Baton Rouge, LA",4.8
302,"Bowling Green, KY",4.8
303,"Cleveland, TN",4.8
304,"Fairbanks, AK",4.8
305,"Mansfield, OH",4.8
306,"Morristown, TN",4.8
307,"New Orleans-Metairie, LA",4.8
308,"Phoenix-Mesa-Scottsdale, AZ",4.8
309,"The Villages, FL",4.8
310,"Houma-Thibodaux, LA",4.9
311,"Jackson, MI",4.9
312,"Parkersburg-Vienna, WV",4.9
313,"Redding, CA",4.9
314,"Springfield, OH",4.9
315,"Albany, OR",5
316,"Elizabethtown-Fort Knox, KY",5
317,"Lafayette, LA",5
318,"Memphis, TN-MS-AR",5
319,"Niles-Benton Harbor, MI",5
320,"Anchorage, AK",5.1
321,"Bremerton-Silverdale, WA",5.1
322,"Cleveland-Elyria, OH",5.1
323,"Prescott, AZ",5.1
324,"Battle Creek, MI",5.2
325,"Clarksville, TN-KY",5.2
326,"Greenville, NC",5.2
327,"Homosassa Springs, FL",5.2
328,"Sebring, FL",5.2
329,"Detroit-Warren-Dearborn, MI",5.3
330,"Grants Pass, OR",5.3
331,"Huntington-Ashland, WV-KY-OH",5.3
332,"Jackson, MS",5.3
333,"Jacksonville, NC",5.3
334,"Medford, OR",5.3
335,"Olympia-Tumwater, WA",5.3
336,"Tucson, AZ",5.3
337,"Vineland-Bridgeton, NJ",5.3
338,"Walla Walla, WA",5.3
339,"Albuquerque, NM",5.4
340,"Bellingham, WA",5.4
341,"Chico, CA",5.4
342,"Danville, IL",5.4
343,"Decatur, IL",5.4
344,"East Stroudsburg, PA",5.4
345,"Hattiesburg, MS",5.4
346,"Kennewick-Richland, WA",5.4
347,"Muskegon, MI",5.4
348,"Scranton--Wilkes-Barre--Hazleton, PA",5.4
349,"Bay City, MI",5.5
350,"Shreveport-Bossier City, LA",5.5
351,"Alexandria, LA",5.7
352,"Monroe, LA",5.7
353,"Monroe, MI",5.7
354,"Mount Vernon-Anacortes, WA",5.7
355,"Saginaw, MI",5.7
356,"Spokane-Spokane Valley, WA",5.7
357,"Brownsville-Harlingen, TX",5.8
358,"Fayetteville, NC",5.8
359,"Johnstown, PA",5.8
360,"Pine Bluff, AR",5.8
361,"Weirton-Steubenville, WV-OH",5.8
362,"Cumberland, MD-WV",5.9
363,"Gulfport-Biloxi-Pascagoula, MS",5.9
364,"Beaumont-Port Arthur, TX",6
365,"Rocky Mount, NC",6
366,"Flint, MI",6.1
367,"Hammond, LA",6.1
368,"Yakima, WA",6.1
369,"Youngstown-Warren-Boardman, OH-PA",6.1
370,"Stockton-Lodi, CA",6.3
371,"Las Cruces, NM",6.4
372,"Flagstaff, AZ",6.5
373,"Lake Havasu City-Kingman, AZ",6.5
374,"Rockford, IL",6.5
375,"Farmington, NM",6.6
376,"Longview, WA",6.6
377,"Modesto, CA",6.6
378,"McAllen-Edinburg-Mission, TX",6.7
379,"Yuba City, CA",6.7
380,"Sierra Vista-Douglas, AZ",6.8
381,"Fresno, CA",7.3
382,"Madera, CA",7.4
383,"Hanford-Corcoran, CA",7.8
384,"Bakersfield, CA",8.4
385,"Merced, CA",8.4
386,"Visalia-Porterville, CA",10
387,"El Centro, CA",20.7
388,"Yuma, AZ",22.1
