,Metropolitan Areas,GDP 2017
300,"St. George, UT","4,705"
301,"St. Joseph, MO-KS","4,772"
302,"St. Louis, MO-IL","139,509"
303,"Salem, OR","14,863"
304,"Salinas, CA","20,735"
305,"Salisbury, MD-DE","17,087"
306,"Salt Lake City, UT","74,363"
307,"San Angelo, TX","4,675"
308,"San Antonio-New Braunfels, TX","118,241"
309,"San Diego-Carlsbad, CA","201,986"
310,"San Francisco-Oakland-Hayward, CA","425,358"
311,"San Jose-Sunnyvale-Santa Clara, CA","256,419"
312,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","13,010"
313,"Santa Cruz-Watsonville, CA","11,481"
314,"Santa Fe, NM","6,223"
315,"Santa Maria-Santa Barbara, CA","22,938"
316,"Santa Rosa, CA","24,985"
317,"Savannah, GA","15,652"
318,"Scranton--Wilkes-Barre--Hazleton, PA","20,782"
319,"Seattle-Tacoma-Bellevue, WA","312,587"
320,"Sebastian-Vero Beach, FL","4,709"
321,"Sebring, FL","1,810"
322,"Sheboygan, WI","5,878"
323,"Sherman-Denison, TX","3,933"
324,"Shreveport-Bossier City, LA","20,198"
325,"Sierra Vista-Douglas, AZ","3,511"
326,"Sioux City, IA-NE-SD","8,454"
327,"Sioux Falls, SD","16,016"
328,"South Bend-Mishawaka, IN-MI","12,231"
329,"Spartanburg, SC","13,794"
330,"Spokane-Spokane Valley, WA","21,999"
331,"Springfield, IL","8,812"
332,"Springfield, MA","24,050"
333,"Springfield, MO","16,863"
334,"Springfield, OH","3,914"
335,"State College, PA","8,091"
336,"Staunton-Waynesboro, VA","4,449"
337,"Stockton-Lodi, CA","23,556"
338,"Sumter, SC","3,367"
339,"Syracuse, NY","29,234"
340,"Tallahassee, FL","13,834"
341,"Tampa-St. Petersburg-Clearwater, FL","127,432"
342,"Terre Haute, IN","5,626"
343,"Texarkana, TX-AR","4,641"
344,"The Villages, FL","2,416"
345,"Toledo, OH","28,300"
346,"Topeka, KS","9,205"
347,"Trenton, NJ","25,759"
348,"Tucson, AZ","33,841"
349,"Tulsa, OK","54,921"
350,"Tuscaloosa, AL","10,198"
351,"Twin Falls, ID","3,669"
352,"Tyler, TX","14,594"
353,"Urban Honolulu, HI","57,861"
354,"Utica-Rome, NY","9,537"
355,"Valdosta, GA","4,378"
356,"Vallejo-Fairfield, CA","17,818"
357,"Victoria, TX","4,545"
358,"Vineland-Bridgeton, NJ","4,988"
359,"Virginia Beach-Norfolk-Newport News, VA-NC","81,821"
360,"Visalia-Porterville, CA","13,582"
361,"Waco, TX","10,676"
362,"Walla Walla, WA","2,481"
363,"Warner Robins, GA","6,106"
364,"Washington-Arlington-Alexandria, DC-VA-MD-WV","460,026"
365,"Waterloo-Cedar Falls, IA","8,609"
366,"Watertown-Fort Drum, NY","5,172"
367,"Wausau, WI","7,119"
368,"Weirton-Steubenville, WV-OH","3,703"
369,"Wenatchee, WA","4,563"
370,"Wheeling, WV-OH","7,130"
371,"Wichita, KS","29,610"
372,"Wichita Falls, TX","6,483"
373,"Williamsport, PA","4,386"
374,"Wilmington, NC","12,203"
375,"Winchester, VA-WV","5,833"
376,"Winston-Salem, NC","25,263"
377,"Worcester, MA-CT","38,197"
378,"Yakima, WA","8,420"
379,"York-Hanover, PA","16,900"
380,"Youngstown-Warren-Boardman, OH-PA","17,258"
381,"Yuba City, CA","5,105"
382,"Yuma, AZ","6,175"
