,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
70,"Clarksville, TN-KY","9,623",5.2,"5,168","861,633,044",754,,292264.0
743,"Clearlake, CA",,,,,,,64382.0
548,"Clearwater, FL",,,,,,76.30%,
744,"Cleveland, MS",,,,,,,31333.0
599,"Cleveland, OH",,,,,,63.90%,
71,"Cleveland, TN","3,752",4.8,"2,180","433,320,731",762,,123625.0
72,"Cleveland-Elyria, OH","120,380",5.1,"55,918","13,162,426,856",988,,2057009.0
745,"Clewiston, FL",,,,,,,41556.0
746,"Clinton, IA",,,,,,,46518.0
747,"Clovis, NM",,,,,,,49437.0
1198,"Coamo, PR",,,,,,,37845.0
1199,"Coco, PR",,,,,,,27083.0
73,"Coeur d'Alene, ID","5,128",3.0,"5,531","625,936,925",751,,161505.0
748,"Coffeyville, KS",,,,,,,32120.0
749,"Coldwater, MI",,,,,,,43622.0
400,"College Station, TX",,,,,,92%,
74,"College Station-Bryan, TX","8,972",3.1,"5,443","1,156,000,579",793,,262431.0
75,"Colorado Springs, CO","28,886",3.4,"21,322","3,533,683,083",951,86.80%,738939.0
76,"Columbia, MO","7,963",2.9,"4,832","1,017,831,459",837,87.30%,180005.0
77,"Columbia, SC","35,421",3.1,"19,284","4,124,610,176",849,74%,832666.0
564,"Columbus, GA",,,,,,74%,
78,"Columbus, GA-AL","11,596",4.4,"6,050","1,205,901,072",797,,305451.0
79,"Columbus, IN","5,236",2.6,"1,929","666,102,791",996,,82753.0
750,"Columbus, MS",,,,,,,58930.0
751,"Columbus, NE",,,,,,,33363.0
80,"Columbus, OH","117,250",3.9,"49,312","13,800,633,520","1,022",80%,2106541.0
459,"Concord, CA",,,,,,85.20%,
752,"Concord, NH",,,,,,,151132.0
753,"Connersville, IN",,,,,,,23047.0
754,"Cookeville, TN",,,,,,,112669.0
755,"Coos Bay, OR",,,,,,,64389.0
401,"Coral Springs, FL",,,,,,92%,
756,"Cordele, GA",,,,,,,22601.0
757,"Corinth, MS",,,,,,,36925.0
758,"Cornelia, GA",,,,,,,45388.0
759,"Corning, NY",,,,,,,95796.0
444,"Corona, CA",,,,,,87.50%,
81,"Corpus Christi, TX","18,738",4.5,"10,128","2,199,582,806",902,77.90%,452950.0
760,"Corsicana, TX",,,,,,,49565.0
761,"Cortland, NY",,,,,,,47823.0
82,"Corvallis, OR","4,375",3.8,"2,784","479,876,411",999,,92101.0
762,"Coshocton, OH",,,,,,,36629.0
416,"Costa Mesa, CA",,,,,,90.60%,
763,"Craig, CO",,,,,,,13188.0
764,"Crawfordsville, IN",,,,,,,38346.0
765,"Crescent City, CA",,,,,,,27828.0
83,"Crestview-Fort Walton Beach-Destin, FL","12,525",2.8,"9,264","1,182,763,714",816,,278644.0
766,"Crossville, TN",,,,,,,59673.0
767,"Cullman, AL",,,,,,,83442.0
768,"Cullowhee, NC",,,,,,,43327.0
84,"Cumberland, MD-WV","2,824",5.9,"2,122","345,811,734",732,,97915.0
572,"Dallas, TX",,,,,,71.50%,
85,"Dallas-Fort Worth-Arlington, TX","479,678",3.4,"183,257","52,426,796,383","1,140",,7539711.0
616,"Dallas-Plano-Irving, TX Metro Division",,,,,,,5007190.0
86,"Dalton, GA","5,870",4.6,"2,694","685,356,070",796,,143983.0
470,"Daly City, CA",,,,,,84.60%,
