,Metropolitan Areas,GDP 2017,Unemployment Rate Jul 2017,Quarterly Income,Total Income,Avg Income,% Households with Internet,Pop Est Jul 2018
1065,"Rexburg, ID",,,,,,,52472.0
490,"Rialto, CA",,,,,,82.20%,
443,"Richardson, TX",,,,,,87.50%,
513,"Richmond, CA",,,,,,79.80%,
1066,"Richmond, IN",,,,,,,65936.0
284,"Richmond, VA","70,677",3.0,"40,463","8,144,672,668",979,74.30%,1306172.0
1067,"Richmond-Berea, KY",,,,,,,109118.0
1068,"Rio Grande City, TX",,,,,,,64525.0
468,"Riverside, CA",,,,,,84.60%,
285,"Riverside-San Bernardino-Ontario, CA","135,986",4.6,"126,977","16,741,524,404",869,,4622361.0
1069,"Riverton, WY",,,,,,,39531.0
1070,"Roanoke Rapids, NC",,,,,,,70250.0
286,"Roanoke, VA","13,263",2.9,"9,601","1,612,555,872",824,,314172.0
1071,"Rochelle, IL",,,,,,,50923.0
287,"Rochester, MN","11,200",2.8,"5,375","1,801,776,691","1,155",89%,219802.0
288,"Rochester, NY","48,504",4.1,"26,893","6,078,457,863",926,65.90%,1071082.0
1073,"Rock Springs, WY",,,,,,,43051.0
289,"Rockford, IL","13,235",6.5,"6,761","1,720,681,854",905,73.60%,337658.0
611,"Rockingham County-Strafford County, NH Metro Division",,,,,,,439266.0
1072,"Rockingham, NC",,,,,,,44887.0
290,"Rocky Mount, NC","4,962",6.0,"3,053","537,277,600",742,,146021.0
1074,"Rolla, MO",,,,,,,44732.0
291,"Rome, GA","3,426",4.6,"1,971","404,460,879",793,,97927.0
1075,"Roseburg, OR",,,,,,,110283.0
442,"Roseville, CA",,,,,,87.70%,
1076,"Roswell, NM",,,,,,,64689.0
405,"Round Rock, TX",,,,,,91.60%,
1077,"Ruidoso, NM",,,,,,,19556.0
1078,"Russellville, AR",,,,,,,85535.0
1079,"Ruston, LA",,,,,,,47196.0
1080,"Rutland, VT",,,,,,,58672.0
519,"Sacramento, CA",,,,,,78.90%,
292,"Sacramento--Roseville--Arden-Arcade, CA","108,732",4.0,"84,925","14,319,102,033","1,101",,2345210.0
1081,"Safford, AZ",,,,,,,38072.0
293,"Saginaw, MI","7,117",5.7,"3,918","911,940,969",837,,190800.0
1084,"Salem, OH",,,,,,,102665.0
297,"Salem, OR","14,863",4.6,"13,182","1,994,099,856",858,81.70%,432102.0
1085,"Salina, KS",,,,,,,60203.0
298,"Salinas, CA","20,735",4.7,"14,023","2,502,709,428",914,79.10%,435594.0
299,"Salisbury, MD-DE","17,087",4.0,"12,531","1,646,251,265",754,,409979.0
300,"Salt Lake City, UT","74,363",2.9,"47,945","9,625,635,118","1,028",82.90%,1222540.0
301,"San Angelo, TX","4,675",3.3,"3,011","523,030,283",820,73.60%,119711.0
559,"San Antonio, TX",,,,,,74.70%,
302,"San Antonio-New Braunfels, TX","118,241",3.3,"52,898","12,128,669,743",916,,2518036.0
576,"San Bernardino, CA",,,,,,71.20%,
456,"San Buenaventura, CA",,,,,,85.50%,
438,"San Diego, CA",,,,,,88%,
303,"San Diego-Carlsbad, CA","201,986",3.6,"112,479","21,848,394,370","1,150",,3343364.0
462,"San Francisco, CA",,,,,,85.10%,
304,"San Francisco-Oakland-Hayward, CA","425,358",2.9,"199,209","55,115,352,572","1,754",,4729484.0
635,"San Francisco-Redwood City-South San Francisco, CA Metro Division",,,,,,,1652850.0
388,"San German, PR",,,"1,313","93,252,441",364,,
1196,"San Germán, PR",,,,,,,121078.0
433,"San Jose, CA",,,,,,88.40%,
305,"San Jose-Sunnyvale-Santa Clara, CA","256,419",2.8,"74,921","35,411,994,252","2,436",,1999107.0
389,"San Juan-Carolina-Caguas, PR",,,"30,503","4,515,819,666",564,,2023237.0
306,"San Luis Obispo-Paso Robles-Arroyo Grande, CA","13,010",3.2,"10,495","1,386,340,528",906,,284010.0
419,"San Mateo, CA",,,,,,90%,
636,"San Rafael, CA Metro Division",,,,,,,259666.0
1086,"Sandpoint, ID",,,,,,,44727.0
1087,"Sandusky, OH",,,,,,,74615.0
1088,"Sanford, NC",,,,,,,61452.0
537,"Santa Ana, CA",,,,,,77.40%,
417,"Santa Clara, CA",,,,,,90.50%,
427,"Santa Clarita, CA",,,,,,89.30%,
307,"Santa Cruz-Watsonville, CA","11,481",4.3,"9,511","1,336,781,023",943,,274255.0
308,"Santa Fe, NM","6,223",4.6,"5,808","664,162,296",830,,150056.0
1201,"Santa Isabel, PR",,,,,,,21037.0
608,"Santa Maria, CA",,,,,,56.10%,
309,"Santa Maria-Santa Barbara, CA","22,938",3.7,"15,528","2,631,846,835","1,004",,446527.0
310,"Santa Rosa, CA","24,985",3.0,"20,248","2,862,246,417","1,044",86.80%,499942.0
1089,"Sault Ste. Marie, MI",,,,,,,37517.0
311,"Savannah, GA","15,652",3.4,"9,443","2,072,559,244",910,72.90%,389494.0
1090,"Sayre, PA",,,,,,,60833.0
1091,"Scottsbluff, NE",,,,,,,37906.0
1092,"Scottsboro, AL",,,,,,,51736.0
399,"Scottsdale, AZ",,,,,,92.10%,
312,"Scranton--Wilkes-Barre--Hazleton, PA","20,782",5.4,"13,681","2,691,549,977",821,,555485.0
1093,"Searcy, AR",,,,,,,78727.0
440,"Seattle, WA",,,,,,87.80%,
637,"Seattle-Bellevue-Everett, WA Metro Division",,,,,,,3048064.0
313,"Seattle-Tacoma-Bellevue, WA","312,587",3.6,"135,080","40,252,078,387","1,542",,3939363.0
314,"Sebastian-Vero Beach, FL","4,709",4.2,"5,124","516,538,920",777,,157413.0
315,"Sebring, FL","1,810",5.2,"2,347","229,107,144",663,,105424.0
1094,"Sedalia, MO",,,,,,,42542.0
1095,"Selinsgrove, PA",,,,,,,40540.0
1096,"Selma, AL",,,,,,,38310.0
1098,"Seneca Falls, NY",,,,,,,34300.0
1097,"Seneca, SC",,,,,,,78374.0
1099,"Sevierville, TN",,,,,,,97892.0
1100,"Seymour, IN",,,,,,,44111.0
1101,"Shawano, WI",,,,,,,45454.0
1102,"Shawnee, OK",,,,,,,72679.0
316,"Sheboygan, WI","5,878",2.8,"2,895","736,491,065",908,,115456.0
1103,"Shelby, NC",,,,,,,97645.0
1104,"Shelbyville, TN",,,,,,,49038.0
1105,"Shelton, WA",,,,,,,65507.0
1106,"Sheridan, WY",,,,,,,30233.0
317,"Sherman-Denison, TX","3,933",3.2,"3,110","498,114,299",820,,133991.0
1107,"Show Low, AZ",,,,,,,110445.0
588,"Shreveport, LA",,,,,,67.90%,
318,"Shreveport-Bossier City, LA","20,198",5.5,"11,669","1,855,767,558",817,,436341.0
1108,"Sidney, OH",,,,,,,48627.0
319,"Sierra Vista-Douglas, AZ","3,511",6.8,"2,284","394,971,524",907,,126770.0
1109,"Sikeston, MO",,,,,,,38458.0
1110,"Silver City, NM",,,,,,,27346.0
639,"Silver Spring-Frederick-Rockville, MD Metro Division",,,,,,,1308215.0
454,"Simi Valley, CA",,,,,,85.80%,
320,"Sioux City, IA-NE-SD","8,454",2.7,"5,437","955,754,338",829,,169045.0
321,"Sioux Falls, SD","16,016",2.1,"9,957","1,848,663,215",925,82.20%,265653.0
1111,"Snyder, TX",,,,,,,16866.0
1112,"Somerset, KY",,,,,,,64623.0
1113,"Somerset, PA",,,,,,,73952.0
1114,"Sonora, CA",,,,,,,54539.0
586,"South Bend, IN",,,,,,68.70%,
322,"South Bend-Mishawaka, IN-MI","12,231",4.2,"6,496","1,451,580,156",844,,322424.0
323,"Spartanburg, SC","13,794",3.1,"6,889","1,649,529,379",857,,341298.0
1115,"Spearfish, SD",,,,,,,25741.0
1116,"Spencer, IA",,,,,,,16134.0
1117,"Spirit Lake, IA",,,,,,,17153.0
505,"Spokane, WA",,,,,,80.30%,
324,"Spokane-Spokane Valley, WA","21,999",5.7,"18,010","2,822,464,197",909,,573493.0
325,"Springfield, IL","8,812",3.9,"5,031","1,780,266,068","1,032",82.70%,207636.0
390,"Springfield, MA",,,"23,534","3,308,798,205",925,69.40%,631761.0
326,"Springfield, MO","16,863",3.0,"12,748","2,064,865,695",793,72.70%,466978.0
327,"Springfield, OH","3,914",4.9,"2,499","479,492,146",774,,134585.0
294,"St. Cloud, MN","8,825",3.0,"5,379","1,222,135,158",897,,199801.0
295,"St. George, UT","4,705",3.4,"6,033","621,256,750",703,,171700.0
296,"St. Joseph, MO-KS","4,772",3.5,"3,275","565,515,018",797,,126490.0
587,"St. Louis, MO",,,,,,68.10%,
387,"St. Louis, MO-IL",,,"85,949","16,902,881,709",981,,2805465.0
1082,"St. Marys, GA",,,,,,,53677.0
1083,"St. Marys, PA",,,,,,,30169.0
497,"St. Paul, MN",,,,,,81.40%,
533,"St. Petersburg, FL",,,,,,77.80%,
485,"Stamford, CT",,,,,,83.30%,
1118,"Starkville, MS",,,,,,,49599.0
328,"State College, PA","8,091",3.7,"3,604","882,197,414",983,,162805.0
1119,"Statesboro, GA",,,,,,,77296.0
329,"Staunton-Waynesboro, VA","4,449",2.6,"3,573","500,781,556",795,,123007.0
1120,"Steamboat Springs, CO",,,,,,,25733.0
1121,"Stephenville, TX",,,,,,,42446.0
467,"Sterling Heights, MI",,,,,,84.70%,
1122,"Sterling, CO",,,,,,,21528.0
1123,"Sterling, IL",,,,,,,55626.0
1124,"Stevens Point, WI",,,,,,,70942.0
1125,"Stillwater, OK",,,,,,,82040.0
569,"Stockton, CA",,,,,,72.50%,
330,"Stockton-Lodi, CA","23,556",6.3,"18,153","2,969,350,754",896,,752660.0
1126,"Storm Lake, IA",,,,,,,19874.0
1127,"Sturgis, MI",,,,,,,61043.0
1128,"Sulphur Springs, TX",,,,,,,36810.0
1129,"Summerville, GA",,,,,,,24790.0
1130,"Summit Park, UT",,,,,,,41933.0
331,"Sumter, SC","3,367",3.8,"2,042","358,213,635",731,,106512.0
1131,"Sunbury, PA",,,,,,,91083.0
403,"Sunnyvale, CA",,,,,,92%,
402,"Surprise, AZ",,,,,,92%,
1132,"Susanville, CA",,,,,,,30802.0
1133,"Sweetwater, TX",,,,,,,14751.0
332,"Syracuse, NY","29,234",4.1,"16,719","3,639,177,798",936,68.80%,650502.0
539,"Tacoma, WA",,,,,,77.30%,
638,"Tacoma-Lakewood, WA Metro Division",,,,,,,891299.0
1134,"Tahlequah, OK",,,,,,,48675.0
1135,"Talladega-Sylacauga, AL",,,,,,,90543.0
333,"Tallahassee, FL","13,834",3.6,"10,441","1,871,994,580",840,85.90%,385145.0
535,"Tampa, FL",,,,,,77.60%,
334,"Tampa-St. Petersburg-Clearwater, FL","127,432",3.4,"91,631","15,473,745,819",937,,3142663.0
1136,"Taos, NM",,,,,,,32835.0
1137,"Taylorville, IL",,,,,,,32661.0
424,"Temecula, CA",,,,,,89.50%,
435,"Tempe, AZ",,,,,,88.40%,
335,"Terre Haute, IN","5,626",4.4,"3,579","649,117,300",761,,169725.0
336,"Texarkana, TX-AR","4,641",4.7,"3,539","570,399,386",767,,150242.0
1138,"The Dalles, OR",,,,,,,26505.0
337,"The Villages, FL","2,416",4.8,"1,894","295,696,557",774,,128754.0
411,"The Woodlands, TX",,,,,,90.90%,
1139,"Thomaston, GA",,,,,,,26215.0
1140,"Thomasville, GA",,,,,,,44448.0
432,"Thornton, CO",,,,,,88.40%,
426,"Thousand Oaks, CA",,,,,,89.30%,
1141,"Tiffin, OH",,,,,,,55207.0
1142,"Tifton, GA",,,,,,,40571.0
1143,"Toccoa, GA",,,,,,,26035.0
338,"Toledo, OH","28,300",4.7,"14,291","3,437,533,928",901,70.20%,602871.0
339,"Topeka, KS","9,205",3.7,"6,304","1,165,138,021",829,73.50%,232594.0
408,"Torrance, CA",,,,,,91.20%,
1144,"Torrington, CT",,,,,,,181111.0
1145,"Traverse City, MI",,,,,,,149914.0
340,"Trenton, NJ","25,759",3.3,"11,056","4,032,677,854","1,238",,369811.0
1146,"Troy, AL",,,,,,,33338.0
1147,"Truckee-Grass Valley, CA",,,,,,,99696.0
341,"Tucson, AZ","33,841",5.3,"18,704","4,252,624,549",900,78%,1039073.0
1148,"Tullahoma-Manchester, TN",,,,,,,104001.0
342,"Tulsa, OK","54,921",3.3,"28,324","5,118,780,386",920,73.80%,993797.0
1149,"Tupelo, MS",,,,,,,140552.0
343,"Tuscaloosa, AL","10,198",3.1,"5,224","1,116,526,186",850,,243575.0
344,"Twin Falls, ID","3,669",2.7,,,,,110096.0
345,"Tyler, TX","14,594",3.5,"6,451","1,146,293,239",849,79.40%,230221.0
1150,"Ukiah, CA",,,,,,,87606.0
1151,"Union City, TN-KY",,,,,,,36387.0
346,"Urban Honolulu, HI","57,861",2.5,"26,423","6,193,025,405","1,015",79.20%,980080.0
1152,"Urbana, OH",,,,,,,38754.0
347,"Utica-Rome, NY","9,537",4.2,"6,520","1,246,619,159",795,,291410.0
1153,"Uvalde, TX",,,,,,,26846.0
348,"Valdosta, GA","4,378",3.8,"3,257","498,449,436",707,,146174.0
511,"Vallejo, CA",,,,,,79.90%,
349,"Vallejo-Fairfield, CA","17,818",4.2,"11,686","2,010,764,412","1,093",,446610.0
1154,"Valley, AL",,,,,,,33615.0
1155,"Van Wert, OH",,,,,,,28281.0
487,"Vancouver, WA",,,,,,83.10%,
1156,"Vermillion, SD",,,,,,,14041.0
1157,"Vernal, UT",,,,,,,35438.0
1158,"Vernon, TX",,,,,,,12820.0
1159,"Vicksburg, MS",,,,,,,55178.0
350,"Victoria, TX","4,545",3.6,"2,655","454,507,760",865,,99619.0
550,"Victorville, CA",,,,,,76.20%,
1160,"Vidalia, GA",,,,,,,36080.0
1161,"Vincennes, IN",,,,,,,36895.0
351,"Vineland-Bridgeton, NJ","4,988",5.3,"3,132","644,976,675",859,,150972.0
1162,"Vineyard Haven, MA",,,,,,,17352.0
423,"Virginia Beach, VA",,,,,,89.50%,
352,"Virginia Beach-Norfolk-Newport News, VA-NC","81,821",3.1,"42,476","8,586,404,341",877,,1728733.0
504,"Visalia, CA",,,,,,80.70%,
353,"Visalia-Porterville, CA","13,582",10.0,"10,951","1,621,259,472",753,,465861.0
1163,"Wabash, IN",,,,,,,31280.0
354,"Waco, TX","10,676",3.7,"5,647","1,317,858,942",867,71.20%,271942.0
1164,"Wahpeton, ND-MN",,,,,,,22493.0
355,"Walla Walla, WA","2,481",5.3,"2,352","336,237,921",844,,64981.0
1165,"Wapakoneta, OH",,,,,,,45804.0
356,"Warner Robins, GA","6,106",3.7,"3,364","795,172,645",831,,193835.0
578,"Warren, MI",,,,,,70.50%,
1166,"Warren, PA",,,,,,,39498.0
619,"Warren-Troy-Farmington Hills, MI Metro Division",,,,,,,2572549.0
1167,"Warrensburg, MO",,,,,,,53652.0
1168,"Warsaw, IN",,,,,,,79344.0
1171,"Washington Court House, OH",,,,,,,28666.0
1169,"Washington, IN",,,,,,,33147.0
1170,"Washington, NC",,,,,,,47079.0
357,"Washington-Arlington-Alexandria, DC-VA-MD-WV","460,026",3.3,"194,511","58,421,146,511","1,427",,6249950.0
640,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Division",,,,,,,4941735.0
593,"Waterbury, CT",,,,,,66.30%,
358,"Waterloo-Cedar Falls, IA","8,609",3.3,"4,942","981,503,848",852,,169659.0
1172,"Watertown, SD",,,,,,,28015.0
1173,"Watertown-Fort Atkinson, WI",,,,,,,85129.0
359,"Watertown-Fort Drum, NY","5,172",4.7,"2,858","422,138,059",790,,111755.0
1174,"Wauchula, FL",,,,,,,27245.0
360,"Wausau, WI","7,119",3.0,"3,552","834,504,315",900,,135428.0
1175,"Waycross, GA",,,,,,,55069.0
1176,"Weatherford, OK",,,,,,,29036.0
361,"Weirton-Steubenville, WV-OH","3,703",5.8,"2,530","377,220,814",776,,117064.0
362,"Wenatchee, WA","4,563",4.0,"4,704","632,791,258",742,,119943.0
451,"West Covina, CA",,,,,,86.20%,
412,"West Jordan, UT",,,,,,90.80%,
575,"West Palm Beach, FL",,,,,,71.30%,
625,"West Palm Beach-Boca Raton-Delray Beach, FL Metro Division",,,,,,,1485941.0
1177,"West Plains, MO",,,,,,,40076.0
1178,"West Point, MS",,,,,,,19386.0
463,"West Valley City, UT",,,,,,85.10%,
453,"Westminster, CO",,,,,,86.10%,
363,"Wheeling, WV-OH","7,130",4.7,"3,779","835,290,972",984,,140045.0
1179,"Whitewater-Elkhorn, WI",,,,,,,103718.0
365,"Wichita Falls, TX","6,483",3.5,"3,722","573,445,378",764,78.60%,151306.0
364,"Wichita, KS","29,610",4.0,"15,611","3,230,506,735",857,73.40%,644888.0
366,"Williamsport, PA","4,386",4.5,"3,132","563,222,124",848,,113664.0
1180,"Williston, ND",,,,,,,35350.0
1181,"Willmar, MN",,,,,,,42855.0
633,"Wilmington, DE-MD-NJ Metro Division",,,,,,,724768.0
367,"Wilmington, NC","12,203",4.0,"9,550","1,390,241,923",844,81.40%,294436.0
1182,"Wilmington, OH",,,,,,,42057.0
1183,"Wilson, NC",,,,,,,81455.0
368,"Winchester, VA-WV","5,833",2.7,"3,968","705,570,917",883,,139810.0
1184,"Winnemucca, NV",,,,,,,16786.0
1185,"Winona, MN",,,,,,,50825.0
369,"Winston-Salem, NC","25,263",4.2,"14,186","2,966,578,705",882,74.30%,671456.0
1186,"Wisconsin Rapids-Marshfield, WI",,,,,,,73055.0
1187,"Woodward, OK",,,,,,,20222.0
1188,"Wooster, OH",,,,,,,115967.0
512,"Worcester, MA",,,,,,79.80%,
370,"Worcester, MA-CT","38,197",3.3,"28,975","5,123,638,700","1,019",,947866.0
1189,"Worthington, MN",,,,,,,21924.0
371,"Yakima, WA","8,420",6.1,"7,860","1,240,852,019",766,,251446.0
1190,"Yankton, SD",,,,,,,22869.0
507,"Yonkers, NY",,,,,,80.20%,
372,"York-Hanover, PA","16,900",4.2,"9,159","2,123,585,887",914,,448273.0
373,"Youngstown-Warren-Boardman, OH-PA","17,258",6.1,"13,116","2,115,181,064",777,,538952.0
374,"Yuba City, CA","5,105",6.7,"4,993","555,339,551",845,,174848.0
375,"Yuma, AZ","6,175",22.1,"3,224","581,157,273",762,,212128.0
1191,"Zanesville, OH",,,,,,,86183.0
1192,"Zapata, TX",,,,,,,14190.0
