State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
16,"Fremont County, Idaho",12889.0,36.7,51806.0,21611.0,1458.0,11.311971448521996,2.498254325393747,4383.0,457.0,2302.0,3305.0,2008.0,903.0,615.0,299.0,831.0
16,"Madison County, Idaho",38241.0,23.5,33620.0,15257.0,11974.0,31.311942679323238,4.497790329750791,10633.0,759.0,6401.0,8070.0,4933.0,2575.0,972.0,408.0,744.0
16,"Shoshone County, Idaho",12490.0,47.2,39835.0,23834.0,2140.0,17.133706965572458,3.899119295436349,5614.0,458.0,2799.0,3757.0,2055.0,1385.0,499.0,272.0,1522.0
16,"Idaho County, Idaho",16275.0,49.5,40299.0,20741.0,2105.0,12.93394777265745,2.205837173579109,6480.0,440.0,2173.0,4164.0,1947.0,1114.0,1654.0,878.0,1928.0
16,"Teton County, Idaho",10776.0,36.4,55986.0,28004.0,888.0,8.240534521158128,3.461395694135115,3764.0,542.0,1932.0,3013.0,1931.0,752.0,571.0,293.0,657.0
16,"Power County, Idaho",7667.0,34.8,47602.0,21513.0,879.0,11.464718925264119,4.434589800443459,2544.0,259.0,1347.0,2035.0,1426.0,386.0,379.0,178.0,472.0
16,"Washington County, Idaho",9996.0,46.1,37521.0,20435.0,1549.0,15.496198479391756,3.7815126050420167,3979.0,409.0,1662.0,2612.0,1469.0,828.0,517.0,241.0,1119.0
17,"Hancock County, Illinois",18264.0,46.0,51460.0,26118.0,2029.0,11.10928602715725,3.1865965834428382,7523.0,494.0,4181.0,5065.0,2643.0,2024.0,630.0,147.0,2079.0
17,"Madison County, Illinois",266153.0,40.0,56536.0,30278.0,35099.0,13.18752747479833,3.7624975108302365,107241.0,9284.0,71414.0,84833.0,53808.0,27065.0,7233.0,1635.0,18976.0
17,"Grundy County, Illinois",50333.0,37.5,71598.0,31914.0,4669.0,9.276220372320347,3.037768462042795,19006.0,1262.0,12750.0,15460.0,9601.0,5019.0,1741.0,521.0,2718.0
17,"Kankakee County, Illinois",110801.0,37.7,56542.0,26150.0,16059.0,14.49355150224276,3.635346251387623,40239.0,2818.0,24487.0,29928.0,19061.0,9234.0,3326.0,1012.0,8715.0
17,"Mercer County, Illinois",15794.0,44.8,55649.0,27844.0,1765.0,11.17512979612511,3.2354058503229073,6620.0,777.0,3761.0,4947.0,3263.0,1483.0,453.0,107.0,1400.0
17,"DuPage County, Illinois",931826.0,39.1,84442.0,42050.0,62247.0,6.6801098059079695,2.856112621884343,340669.0,19724.0,269261.0,295908.0,208710.0,80771.0,13366.0,2492.0,34851.0
17,"Sangamon County, Illinois",198134.0,40.1,58687.0,33277.0,30348.0,15.316906739883109,3.544066137058758,83673.0,6743.0,54909.0,65849.0,45027.0,18491.0,6491.0,859.0,13693.0
17,"Alexander County, Illinois",6776.0,42.3,31014.0,18564.0,2212.0,32.64462809917355,2.8630460448642268,2432.0,396.0,442.0,1104.0,746.0,184.0,252.0,151.0,1282.0
17,"Menard County, Illinois",12416.0,42.3,62368.0,32839.0,1386.0,11.163015463917526,2.3679123711340204,5230.0,608.0,2789.0,4035.0,2669.0,995.0,705.0,247.0,1052.0
17,"Randolph County, Illinois",32829.0,41.5,49717.0,24716.0,3531.0,10.755734259343873,1.8702976027292941,12060.0,1068.0,6518.0,8227.0,4702.0,3041.0,950.0,268.0,3282.0
17,"Morgan County, Illinois",34442.0,41.2,49353.0,26253.0,4611.0,13.387724290110912,2.9702107891527785,13894.0,1576.0,7319.0,10293.0,6357.0,3186.0,1658.0,498.0,2988.0
17,"Cook County, Illinois",5238541.0,36.4,59426.0,33722.0,821572.0,15.683221721467866,4.592977319448297,1956561.0,135811.0,1319255.0,1500290.0,986543.0,465829.0,89105.0,13312.0,359116.0
17,"Ogle County, Illinois",51619.0,41.9,57655.0,29239.0,5657.0,10.959142951238885,3.3534163776903854,20830.0,2467.0,11407.0,15922.0,10481.0,4498.0,2087.0,758.0,4131.0
17,"Macon County, Illinois",107587.0,41.0,49052.0,28280.0,17246.0,16.02981772890777,4.512626990249752,44310.0,3908.0,27538.0,33029.0,22114.0,9719.0,2149.0,432.0,9237.0
